board,count,push,category,title,author,month,day,text_link
Baseball,1,11,新聞,[新聞] 兄弟黃博多1球種很殺 打斷世界冠軍林立,iamshana,3,14,/bbs/Baseball/M.1741961417.A.206.html
Baseball,2,1,新聞,[新聞] 霸鉧德變化球不太準　古久保看黃博多：,nybbnan,3,14,/bbs/Baseball/M.1741962472.A.93D.html
Baseball,3,28,分享,[分享] 台鋼突破僵局的優異守備,jason050117,3,14,/bbs/Baseball/M.1741962514.A.946.html
Baseball,4,0,新聞,[新聞] mlb》洋基、大都會等9隊都想要！教士王牌引發高度興趣但很,saiulbb,3,14,/bbs/Baseball/M.1741963027.A.722.html
Baseball,5,3,新聞,[新聞] spc-揮棒速度提升　baker要搶進開季名單,saiulbb,3,14,/bbs/Baseball/M.1741963027.A.670.html
Baseball,6,0,新聞,[新聞] occ-mlb》光芒隊決定取消興建新球場計畫　希望2026年重回tro,saiulbb,3,14,/bbs/Baseball/M.1741963027.A.048.html
Baseball,7,0,新聞,[新聞] u18亞洲盃／5人制棒球中華隊吞「亞」 辜,access4096,3,14,/bbs/Baseball/M.1741964154.A.495.html
Baseball,8,0,公告,[公告] 板規,trosenthal,10,14,/bbs/Baseball/M.1634212242.A.283.html
Baseball,9,20,整理,[整理] 轉播時間 + 季前熱身賽,yuiianitima,1,01,/bbs/Baseball/M.1735661629.A.B3B.html
Baseball,10,9,分享,[分享] cpbl熱身賽　 轉播平台／賽程表,yuiianitima,3,11,/bbs/Baseball/M.1741707050.A.0A5.html
Baseball,11,80,討論,[討論] 胡智爲距離成為王牌還差了什麼,xz4979265,3,14,/bbs/Baseball/M.1741954154.A.EC9.html
Baseball,12,21,炸裂,[炸裂] 梁家榮  阿銀,zxcc79,3,14,/bbs/Baseball/M.1741954316.A.2EE.html
Baseball,13,32,新聞,[新聞] 「意識到主力球員高齡化」　兄弟教頭談,whj0530,3,14,/bbs/Baseball/M.1741954747.A.AA4.html
Baseball,14,13,分享,[分享] 道奇練球吸引一萬多日本人購票進場,aisingioro,3,14,/bbs/Baseball/M.1741955039.A.153.html
Baseball,15,2,分享,[分享] the show 25 亞洲球員數值(進單隊top5,zxc906383,3,14,/bbs/Baseball/M.1741955627.A.3A5.html
Baseball,16,95,分享,[分享] 大谷ig,bigtien6292,3,14,/bbs/Baseball/M.1741955994.A.98D.html
Baseball,17,39,討論,[討論] 孔念恩,a0504,3,14,/bbs/Baseball/M.1741956032.A.DFD.html
Baseball,18,16,分享,[分享] 馬林魚替低a球隊徵靶子隊（日薪150）,zxc906383,3,14,/bbs/Baseball/M.1741957652.A.1E8.html
Baseball,19,44,分享,[分享] 王柏融開轟影片,heart1110,3,14,/bbs/Baseball/M.1741958042.A.51D.html
